date,book,chapter,verse,kor,eng,
2021-06-21,Psalms,133,1,보라 형제가 연합하여 동거함이 어찌 그리 선하고 아름다운고,,
2021-06-22,Psalms,134,3,천지를 지으신 여호와께서 시온에서 네게 복을 주실지어다,,
2021-06-23,Psalms,136,1,여호와께 감사하라 그는 선하시며 그 인자하심이 영원함이로다,,
2021-06-24,Psalms,145,1,왕이신 나의 하나님이여 내가 주를 높이고 영원히 주의 이름을 송축하리이다,,
2021-06-25,Psalms,147,5,우리 주는 위대하시며 능력이 많으시며 그의 지혜가 무궁하시도다,,
2021-06-26,,,,,,
2021-06-27,,,,,,
2021-06-28,Psalms,147,11,여호와는 자기를 경외하는 자들과 그의 인자하심을 바라는 자들을 바라는 자들을 기뻐하시는도다,,
2021-06-29,Psalms,148,1,할렐루야 하늘에서 여호와를 찬양하며 높은 데서 그를 찬양할지어다,,
2021-06-30,Psalms,150,2,그의 능하신 행동을 찬양하며 그의 지극히 위대하심을 따라 찬양할지어다,,
2021-07-01,Psalms,150,6,호흡이 있는 자마다 여호와를 찬양할지어다 할렐루야,,
2021-07-02,3John,1,2,사랑하는 자여 네 영혼이 잘됨 같이 네가 범사에 잘되고 강건하기를 내가 간구하노라,,
2021-07-03,,,,,,
2021-07-04,,,,,,
2021-07-05,Psalms,54,4,하나님은 나를 돕는 이시며 주께서는 내 생명을 붙들어 주시는 이시니이다.,,
2021-07-06,Psalms,56,10,내가 하나님을 의지하여 그의 말씀을 찬송하며 여호와를 의지하여 그의 말씀을 찬송하리이다,,
2021-07-07,Psalms,59,17,나의 힘이시여 내가 주께 찬송하오리니 하나님은 나의 요새이시며 나를 긍휼히 여기시는 하나님이니이다.,,
2021-07-08,Psalms,62,6,오직 그만이 나의 반석이시요 나의 구원이시요 나의 요새이시니 내가 흔들리지 아니하리로다,,
2021-07-09,Psalms,71,14,나는 항상 소망을 품고 주를 더욱 더욱 찬송하리이다,,
2021-07-10,Psalms,,,,,
2021-07-11,Psalms,,,,,
2021-07-12,Psalms,72,19,그 영화로운 이름을 영원히 찬송할지어다 온 땅에 그의 영광이 충만할지어다,,
2021-07-13,Psalms,73,25,하늘에서는 주 외에 누가 내게 있으리요 땅에서는 주 밖에 내가 사모할 이 없나이다,,
2021-07-14,Psalms,74,17,주께서 땅의 경계를 정하시며 주께서 여름과 겨울을 만드셨나이다,,
2021-07-15,Mark,11,24,그러므로 내가 너희에게 말하노니 무엇이든지 기도하고 구하는 것은 받은 줄로 믿으라 그리하면 너희에게 그대로 되리라,,
2021-07-16,Psalms,79,13,우리는 주의 백성이요 주의 목장의 양이니 우리는 영원히 주께 감사하며 주의 영예를 대대에 전하리이다.,,
2021-07-17,,,,,,
2021-07-18,,,,,,
2021-07-19,Psalms,80,19,만군의 하나님 여호와여 우리를 돌이켜 주시고 주의 얼굴의 광채를 우리에게 비추소서 우리가 구원을 얻으리이다,,
2021-07-20,Psalms,83,18,여호와라 이름하신 주만 온 세계의 지존자로 알게 하소서,,
2021-07-21,Psalms,84,11,여화와 하나님은 해요 방패이시라 여호와께서 은헤와 영화를 주시며 정직하게 행하는 자에게 좋은 것을 아끼지 아니하실 것임이니이다,,
2021-07-22,Psalms,86,7,나의 환난 날에 내가 주께 부르짖으리니 주께서 내게 응답하시리이다,,
2021-07-23,Psalms,89,14,공의와 정읙 주의 보좌의 기초라 인자함과 진실함이 주 앞에 있나이다,,
2021-07-24,Psalms,,,,,
2021-07-25,Psalms,,,,,
2021-07-26,Psalms,90,2,"산이 생기기 전, 땅과 세계도 주께서 조성하시기 전 곧 영원부터 영원까지 주는 하나님이시니이다",,
2021-07-27,Psalms,91,15,그가 내게 간구하리니 내가 그에게 응답하리라 그들이 환난 당할 때에 내가 그와 함께 하여 그를 건지고 영화롭게 하리라,,
2021-07-28,Psalms,92,4,여호와여 주께서 행하신 일로 나를 기쁘게 하셨으니 주의 손이 행하신 일로 말미암아 내가 높이 외치리이다.,,
2021-07-29,Psalms,100,4,감사함으로 그의 문에 들어가며 찬송함으로 그의 궁정에 들어가서 그에게 감사하며 그의 이름을 송축할지어다,,
2021-07-30,Psalms,102,2,나의 괴로운 날에 주의 얼굴을 내게서 숨기지 마소서 주의 귀를 내게 기울이사 내가 부르짖는 날에 속히 내게 응답하소서,,
2021-07-31,,,,,,
2021-08-01,,,,,,
2021-08-02,Psalms,103,5,좋은 것으로 네 소원을 만족하게 하사 네 청춘을 독수리 같이 새롭게 하시는도다,,
2021-08-03,Psalms,104,34,나의 기도를 기쁘게 여기시기를 바라나니 나는 여호와로 말미암아 즐거워하리로다,,
2021-08-04,Psalms,104,33,내가 평생토록 여호와께 노래하며 내가 살아 있는 동안 내 하나님을 찬양하리로다,,
2021-08-05,Psalms,106,1,할렐루야 여호와께 감사하라 그는 선하시며 그 인자하심이 영원함이로다,,
2021-08-06,Psalms,107,31,여호와의 인자하심과 인생에게 행하신 기적으로 말미암아 그를 찬송할지로다,,
2021-08-07,Psalms,,,,,
2021-08-08,Psalms,,,,,
2021-08-09,Psalms,113,3,해 돋는 데서부터 해 지는 데에까지 여호와의 이름이 찬양을 받으시리로다,,
2021-08-10,Psalms,115,11,여호와를 경외하는 자들아 너희는 여호와를 의지하여라 그는 너희의 도움이시요 너희의 방패시로다,,
2021-08-11,Psalms,116,7,내 영혼아 네 평안함으로 돌아갈지어다 여호와께서 너를 후대하심이로다.,,
2021-08-12,Psalms,117,2,우리에게 향하신 여호와의 인자하심이 크시고 여호와의 진실하심이 영원함이로다 할렐루야,,
2021-08-13,Psalms,118,6,여호와는 내 편이시라 내가 두려워하지 아니하리니 사람이 내게 어찌할까,,
2021-08-14,Psalms,,,,,
2021-08-15,Psalms,,,,,
2021-08-16,Psalms,,,,,
2021-08-17,Psalms,83,18,여호와라 이름하신 주만 온 세계의 지존자로 알게 하소서,,
2021-08-18,Psalms,84,12,만군의 여호와여 주께 의지하는 자는 복이 있나이다,,
2021-08-19,Psalms,86,3,주여 내게 은혜를 베푸소서 내가 종일 주께 부르짖나이다,,
2021-08-20,Psalms,86,7,나의 환난 날에 내가 주께 부르짖으리니 주께서 내게 응답하시리이다,,
2021-08-21,,,,,,
2021-08-22,,,,,,
2021-08-23,Psalms,86,17,여호와여 주는 나를 돕고 위로하시는 이시니이다,,
2021-08-24,Mark,11,24,그러므로 내가 너희에게 말하노니 무엇이든지 기도하고 구하는 것은 받은 줄로 믿으라 그리하면 너희에게 그대로 되리라,,
2021-08-25,Psalms,90,14,아침에 주의 인자하심이 우리를 만족하게 하사 우리를 일생 동안 즐겁고 기쁘게 하소서,,
2021-08-26,Psalms,93,5,여호와여 주의 증거들이 매우 확실하고 거룩함이 주의 집에 합당하니 여호와는 영원무궁하시리이다,,
2021-08-27,Psalms,94,19,내 속에 근심이 많을 때에 주의 위안이 내 영혼을 즐겁게 하시나이다.,,
2021-08-28,,,,,,
2021-08-29,,,,,,
2021-08-30,Psalms,95,6,오라 우리가 굽혀 경배하며 우리를 지으신 여호와 앞에 무릎을 꿇자,,
2021-08-31,,,,,,
2021-09-01,Psalms,103,5,좋은 것으로 네 소원을 만족하게 하사 네 청춘을 독수리 같이 새롭게 하시는도다,,
2021-09-02,Psalms,104,34,나의 기도를 기쁘게 여기시기를 바라나니 나는 여호와로 말미암아 즐거워하리로다,,
2021-09-03,Psalms,107,1,여호와께 감사하라 그는 선하시며 그 인자하심이 영원함이로다,,
2021-09-04,,,,,,
2021-09-05,,,,,,
2021-09-06,Psalms,108,4,주의 인자하심이 하늘보다 높으시며 주의 진실은 궁창에까지 이르나이다.,,
2021-09-07,Psalms,115,14,여호와께서 너희를 곧 너희와 너희의 자손을 더욱 번창하게 하시기를 원하노라,,
2021-09-08,Psalms,118,5,내가 고통 중에 여호와께 부르짖었더니 여호와께서 응답하시고 나를 넓은 곳에 세우셨도다,,
2021-09-09,Psalms,119,41,여호와여 주의 말씀대로 주의 인자하심과 주의 구원을 내게 임하게 하소서,,
2021-09-10,Psalms,120,1,내가 환난 중에 여호와께 부르짖었더니 내게 응답하셨도다,,
2021-09-11,,,,,,
2021-09-12,,,,,,
2021-09-13,Psalms,121,7,여호와께서 너를 지켜 모든 환난을 면하게 하시며 또 네 영혼을 지키시리로다,,
2021-09-14,Psalms,124,8,우리의 도움은 천지를 지으신 여호와의 이름에 있도다,,
2021-09-15,Psalms,126,3,여호와께서 우리를 위하여 큰 일을 행하셨으니 우리는 기쁘도다,,
2021-09-16,Psalms,130,5,나 곧 내 영혼은 여호와를 기다리며 나는 주의 말씀을 바라는 도다,,
2021-09-17,Psalms,136,26,하늘의 하나님께 감사하라 그 인자하심이 영원함이로다,,
2021-09-18,,,,,,
2021-09-19,,,,,,
2021-09-20,,,,,,
2021-09-21,,,,,,
2021-09-22,Psalms,136,24,우리를 우리의 대적에게서 건지신 이에게 감사하라 그 인자하심이 영원함이로다,,
2021-09-23,Psalms,138,3,내가 간구하는 날에 주께서 응답하시고 내 영혼에 힘을 주어 나를 강하게 하셨나이다,,
2021-09-24,Psalms,139,10,거기서도 주의 손이 나를 인도하시며 주의 오른손이 나를 붙드시리이다,,
2021-09-25,,,,,,
2021-09-26,,,,,,
2021-09-27,Psalms,140,12,내가 알거니와 여호와는 고난 당하는 자를 변호해 주시며 궁핍한 자에게 정의를 베푸시리이다.,,
2021-09-28,Psalms,141,8,주 여호와여 내 눈이 주께 향하며 내가 주께 피하오니 내 영혼을 빈궁한 대로 버려 두지 마옵소서,,
2021-09-29,Psalms,143,1,여호와여 내 기도를 들으시며 내 간구에 귀를 기울이시고 주의 진실과 의로 내게 응답하소서,,
2021-09-30,Psalms,44,26,일어나 우리를 도우소서 주의 인자하심으로 말미암아 우리를 구원하소서,,
2021-10-01,Psalms,46,1,하나님은 우리의 피난처시요 힘이시니 환난 중에 만날 큰 도움이시라,,
2021-10-02,,,,,,
2021-10-03,,,,,,
2021-10-04,Psalms,50,15,환난 날에 나를 부르라 내가 너를 건지리니 네가 나를 영화롭게 하리로다,,
2021-10-05,,,,,,
2021-10-06,Psalms,54,4,하나님은 나를 돕는 이시며 주께서는 내 생명을 붙들어 주시는 이시니이다.,,
2021-10-07,Psalms,56,11,내가 하나님을 의지하였은즉 두려워하지 아니하리니 사람이 내게 어찌하리이까,,
2021-10-08,Psalms,57,2,내가 지존하신 하나님께 부르짖음이여 곧 나를 위하여 모든 것을 이루시는 하나님께로다,,
2021-10-09,,,,,,
2021-10-10,,,,,,
2021-10-11,Psalms,57,10,무릇 주의 인자는 커서 하늘에 미치고 주의 진리는 궁창에 이르나이다,,
2021-10-12,Psalms,59,17,나의 힘이시여 내가 주께 찬송하오리니 하나님은 나의 요새이시며 나를 긍휼히 여기시는 하나님이니이다.,,
2021-10-13,Psalms,62,6,오직 그만이 나의 반석이시요 나의 구원이시요 나의 요새이시니 내가 흔들리지 아니하리로다,,
2021-10-14,Psalms,63,7,주는 나의 도움이 되셨음이라 내가 주의 날개 그늘에서 즐겁게 부르리아디,,
2021-10-15,Psalms,66,9,그는 우리 영혼을 살려 두시고 우리의 실족함을 허락하지 아니하시는 주시로다,,
2021-10-16,,,,,,
2021-10-17,,,,,,
2021-10-18,Psalms,71,21,나를 더욱 창대하게 하시고 돌이키사 나를 위로하소서,,
2021-10-19,Psalms,73,25,하늘에서는 주 외에 누가 내게 있으리요 땅에서는 주 밖에 내가 사모할 이 없나이다,,
2021-10-20,Psalms,74,17,주께서 땅의 경계를 정하시며 주께서 여름과 겨울을 만드셨나이다,,
2021-10-21,Psalms,83,18,여호와라 이름하신 주만 온 세계의 지존자로 알게 하소서,,
2021-10-22,Psalms,84,11,여호와 하나님은 해요 방패이시라 여호와께서 은혜와 영화를 주시며 정직하게 행하는 자에게 좋은 것을 아끼지 아니하실 것임이니이다.,,
2021-10-23,,,,,,
2021-10-24,,,,,,
2021-10-25,Psalms,86,4,주여 내 영혼이 주를 우러러보오니 주여 내 영혼을 기쁘게 하소서,,
2021-10-26,Psalms,86,10,무릇 주는 위대하사 기이한 일들을 행하시오니 주만이 하나님이시니이다,,
2021-10-27,Psalms,89,26,그가 내게 부르기를 주는 나의 아버지시요 나의 하나님이시요 나으 구원의 바위시라 하리로다,,
2021-10-28,Psalms,90,14,아침에 주의 인자하심이 우리를 만족하게 하사 우리를 일생 동안 즐겁고 기쁘게 하소서,,
2021-10-29,Psalms,91,11,그가 너를 위하여 그의 천사들을 명령하사 네 모든 길에서 너를 지키게 하심이라,,
2021-10-30,,,,,,
2021-10-31,,,,,,
2021-11-01,Psalms,94,22,여호와는 나의 요새이시요 나의 하나님은 내가 피할 반석이시라,,
2021-11-02,Psalms,97,12,의인이여 너희는 여호와로 말미암아 기뻐하며 그의 거룩한 이름에 감사할지어다,,
2021-11-03,Psalms,100,3,여호와가 우리 하나님이신 줄 너희는 알지어다 그는 우리를 지으신 이요 우리는 그의 것이니 그의 백성이요 그의 기르시는 양이로다,,
2021-11-04,Psalms,102,2,나의 괴로운 날에 주의 얼굴을 내게서 숨기지 마소서 주의 귀를 내게 기울이사 내가 부르짖는 날에 속히 내게 응답하소서,,
2021-11-05,Psalms,103,5,좋은 것으로 네 소원을 만족하게 하사 네 청춘을 독수리 같이 새롭게 하시는도다,,
2021-11-06,Psalms,104,34,나의 기도를 기쁘게 여기시기를 바라나니 나는 여호와로 말미암아 즐거워하리로다,,
2021-11-07,,,,,,
2021-11-08,Psalms,105,4,여호와와 그의 능력을 구할지어다 그의 얼굴을 항상 구할지어다,,
2021-11-09,Psalms,106,1,할렐루야 여호와께 감사하라 그는 선하시며 그 인자하심이 영원함이로다,,
2021-11-10,Psalms,107,8,여호와의 인자하심과 인생에게 행하신 기적으로 말미암아 그를 찬송할지로다,,
2021-11-11,Psalms,108,4,주의 인자하심이 하늘보다 높으시며 주의 진실은 궁창에까지 이르나이다.,,
2021-11-12,Psalms,115,14,여호와께서 너희를 곧 너희와 너희의 자손을 더욱 번창하게 하시기를 원하노라,,
2021-11-13,,,,,,
2021-11-14,,,,,,
2021-11-15,Psalms,116,8,"주께서 내 영혼을 사망에서, 내 눈을 눈물에서, 내 발을 넘어짐에서 건지셨나이다",,
2021-11-16,1Kings,8,45,주는 하늘에서 그들의 기도와 간구를 들으시고 그들의 일을 돌아보옵소서,,
2021-11-17,Psalms,118,6,여호와는 내 편이시라 내가 두려워하지 아니하리니 사람이 내게 어찌할까,,
2021-11-18,Psalms,118,21,주께서 내게 응답하시고 나의 구원이 되셨으니 내가 주께 감사하리이다,,
2021-11-19,Psalms,119,18,내 눈을 열어서 주의 율법에서 놀라운 것을 보게 하소서,,
2021-11-20,,,,,,
2021-11-21,,,,,,
2021-11-22,Psalms,120,1,내가 환난 중에 여호와께 부르짖었더니 내게 응답하셨도다,,
2021-11-23,Psalms,121,2,나의 도움은 천지를 지으신 여호와에게서로다,,
2021-11-24,Psalms,121,7,여호와께서 너를 지켜 모든 환난을 면하게 하시며 또 네 영혼을 지키시리로다,,
2021-11-25,Psalms,126,3,여호와께서 우리를 위하여 큰 일을 행하셨으니 우리는 기쁘도다,,
2021-11-26,Psalms,128,2,네가 네 손이 수고한 대로 먹을 것이라 네가 복되고 형통하리로다,,
2021-11-27,,,,,,
2021-11-28,,,,,,
2021-11-29,Psalms,138,3,내가 간구하는 날에 주께서 응답하시고 내 영혼에 힘을 주어 나를 강하게 하셨나이다,,
2021-11-30,Psalms,138,7,내가 환난 중에 다닐지라도 주께서 나를 살아나게 하시고 주의 손을 펴사 내 원수들의 분노를 막으시며 주의 오른손이 나를 구원하시리이다,,
2021-12-01,Psalms,20,4,네 마음의 소원을 허락하시고 네 모든 계획을 이루어 주시기를 원하노라,,
2021-12-02,Psalms,139,10,거기서도 주의 손이 나를 인도하시며 주의 오른손이 나를 붙드시리이다,,
2021-12-03,Psalms,140,7,내 구원의 능력이신 주 여호와여 전쟁의 날에 주께서 내 머리를 가려 주셨나이다,,
2021-12-04,,,,,,
2021-12-05,,,,,,
2021-12-06,Psalms,141,8,주 여호와여 내 눈이 주께 향하며 내가 주께 피하오니 내 영혼을 빈궁한 대로 버려 두지 마옵소서,,
2021-12-07,Psalms,141,2,나의 기도가 주의 앞에 분향함과 같이 되며 나의 손 드는 것이 저녁 제사같이 되게 하소서,,
2021-12-08,Psalms,143,11,여호와여 주의 이름을 위하여 나를 살리시고 주의 의로 내 영혼을 환난에서 끌어내소서,,
2021-12-09,Psalms,143,1,여호와여 내 기도를 들으시며 내 간구에 귀를 기울이시고 주의 진실과 의로 내게 응답하소서,,
2021-12-10,Psalms,144,2,여호와는 나의 사랑이시요 나의 요새이시요 나의 산성이시요 나를 건지시는 이시요 나의 방패이시니,,
2021-12-11,,,,,,
2021-12-12,,,,,,
2021-12-13,Psalms,145,19,그는 자기를 경외하는 자들의 소원을 이루시며 또 그들의 부르짖음을 들으사 구원하시리로다,,
2021-12-14,Psalms,146,5,야곱의 하나님을 자기의 도움으로 삼으며 여호와 자기 하나님에게 자기의 소망을 두는 자는 복이 있도다,,
2021-12-15,Psalms,147,11,여호와는 자기를 경외하는 자들과 그의 인자하심을 바라는 자들을 바라는 자들을 기뻐하시는도다,,
2021-12-16,Psalms,149,4,여호와께서는 자기 백성을 기뻐하시며 겸손한 자를 구원으로 아름답게 하심이로다,,
2021-12-17,Proverbs,1,7,여호와를 경외하는 것이 자식의 근본이거늘 미련한 자는 지혜와 훈계를 멸시하느니라,,
2021-12-18,,,,,,
2021-12-19,,,,,,
2021-12-20,Psalms,17,6,하나님이여 내게 응답하시겠으므로 내가 불렀사오니 내게 귀를 기울여 내 말을 들으소서,,
2021-12-21,Psalms,19,14,나의 반석이시요 나의 구속자이신 여호와여 내 입의 말과 마음의 묵상이ㅣ 주님 앞에 열납되기를 원하나이다,,
2021-12-22,Romans,8,28,우리가 알거니와 하나님을 사랑하는 자 곧 그의 뜻대로 부르심을 입은 자들에게는 모든 것이협력하여 선을 이루느니라,,
2021-12-23,Romans,8,18,생각하건대 현재의 고난은 장차 우리에게 나타날 영광과 비교할 수 없도다,,
2021-12-24,Romans,8,39,높음이나 깊음이나 다른 어떤 피조물이라도 우리를 우리 주 그리스도 예수 안에 있는 하나님의 사랑에서 끊을 수 없으리라,,
2021-12-25,,,,,,
2021-12-26,,,,,,
2021-12-27,Romans,15,13,소망의 하나님이 모든 기쁨과 평강을 믿음 안에서 너희에게 충만하게 하사 성령의 능력으로 소망이 넘치게 하시기를 원하노라,,
2021-12-28,Romans,3,24,그리스도 예수 안에 있는 속량으로 말미암아 하나님의 은혜로 값 없이 의롭다 하심을 얻은 자 되었느니라,,
2021-12-29,Galatians,3,27,누구든지 그리스도와 합하기 위하여 세례를 받은 자는 그리스도로 옷 입었느니라,,
2021-12-30,Psalms,33,20,우리 영혼이 여호와를 바람이여 그는 우리의 도움과 방패시로다,,
2021-12-31,Psalms,34,4,내가 여호와께 간구하매 내게 응답하시고 내 모든 두려움에서 나를 건지셨도다,,
2022-01-01,,,,,,
2022-01-02,,,,,,
2022-01-03,Psalms,34,19,의인은 고난이 많으나 여호와께서 그의 모든 고난에서 건지시는도다,,
2022-01-04,Psalms,36,9,진실로 생명의 원천이 주께 있사오니 주의 빛 안에서 우리가 빛을 보리이다,,
2022-01-05,Psalms,37,4,또 여호와를 기뻐하라 그가 네 마음의 소원을 네게 이루어 주시리로다,,
2022-01-06,Psalms,39,13,주는 나를 용서하사 내가 떠나 없어지기 전에 나의 건강을 회복시키소서,,
2022-01-07,Psalms,40,2,나를 기가 막힐 웅덩이와 수렁에서 끌어올리시고 내 발을 반석위에 두사 내 걸음을 견고하게 하셨도다,,
2022-01-08,,,,,,
2022-01-09,,,,,,
2022-01-10,,,,,,
2022-01-11,,,,,,
2022-01-12,,,,,,
2022-01-13,Psalms,40,13,여호와여 은총을 베푸사 나를 구원하소서 여호와여 속히 나를 도우소서,,
2022-01-14,Ephesians,3,19,그 너비와 길이와 높이와 깊이가 어떠함을 깨달아 하나님의 모든 충만하신 것으로 너희에게 충만하게 하시기를 구하노라,,
2022-01-15,,,,,,
2022-01-16,,,,,,
2022-01-17,1John,4,15,누구든지 예수를 하나님의 아들이라 시인하면 하나님이 그의 안에 거하시고 그도 하나님 안에 거하느니라,,
2022-01-18,1John,5,4,무릇 하나님께로부터 난 자마다 세상을 이기느니라 세상을 이기는 승리는 이것이니 우리의 믿음이니라,,
2022-01-19,Job,23,10,그러나 내가 가는 길을 그가 아시나니 그가 나를 단련하신 후에는 내가 순금 같이 되어 나오리라,,
2022-01-20,Psalms,48,14,이 하나님은 영원히 우리 하나님이시니 그가 우리를 죽을 때까지 인도하시리로다,,
2022-01-21,Psalms,51,10,하나님이여 내 속에 정한 마음을 창조하시고 내 안에 정직한 영을 새롭게 하소서,,
2022-01-22,,,,,,
2022-01-23,,,,,,
2022-01-24,,,,,,
2022-01-25,Psalms,54,4,하나님은 나를 돕는 이시며 주께서는 내 생명을 붙들어 주시는 이시니이다.,,
2022-01-26,Psalms,57,7,하나님이여 내 마음이 확정되고 내 마음이 확정되었사오니 내가 노래하고 내가 찬송하리이다,,
2022-01-27,Psalms,57,11,하나님이여 주는 하늘 위에 높이 들리시며 주의 영광이 온 세계 위에 높아지기를 원하나이다,,
2022-01-28,,,,,,
2022-01-29,,,,,,
2022-01-30,,,,,,
2022-01-31,Psalms,62,5,나의 영혼아 잠잠히 하나님만 바라라 무릇 나의 소망이 그로부터 나오는도다,,
2022-02-01,,,,,,
2022-02-02,,,,,,
2022-02-03,Psalms,63,7,주는 나의 도움이 되셨음이라 내가 주의 날개 그늘에서 즐겁게 부르리이다,,
2022-02-04,Psalms,46,1,하나님은 우리의 피난처시요 힘이시니 환난 중에 만날 큰 도움이시라,,
2022-02-05,,,,,,
2022-02-06,,,,,,
2022-02-07,Psalms,46,7,만군의 여호와께서 우리와 함께 하시니 야곱의 하나님은 우리의 피난처시로다 (셀라),,
2022-02-08,Psalms,48,14,이 하나님은 영원히 우리 하나님이시니 그가 우리를 죽을 때까지 인도하시리로다,,
2022-02-09,Psalms,50,15,환난 날에 나를 부르라 내가 너를 건지리니 네가 나를 영화롭게 하리로다,,
2022-02-10,Psalms,51,10,하나님이여 내 속에 정한 마음을 창조하시고 내 안에 정직한 영을 새롭게 하소서,,
2022-02-11,Psalms,54,1,하나님이여 주의 이름으로 나를 구원하시고 주의 힘으로 나를 변호하소서,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
